0          10664                   10664                   0                       533                    
1          10660.4716757262        10660.4716757262        0                       4584.69727618566       
2          10659.0447529009        10656.9567299569        0                       4583.33988591273       
3          10656.8217954376        10653.4504863814        0                       4581.98595869872       
4          10654.1025782641        10649.9500275008        0                       4580.63432757211       
5          10651.0814028616        10646.4535751104        0                       4579.2842812703        
6          10647.8767230621        10642.9600455609        0                       4577.9353863478        
7          10644.5607140693        10639.4687784046        0                       4576.58737863651       
8          10641.1773527365        10635.9793710544        0                       4575.24009711064       
9          10637.7534343982        10632.4915780399        0                       4573.89344359001       
10         10634.3052855304        10629.0052496239        0                       4572.54735818682       
11         10630.8428538362        10625.5202944           0                       4571.20180434526       
12         10627.3722003734        10622.0366565033        0                       4569.85675972592       
13         10623.8970180309        10618.5543017251        0                       4568.51221065157       
14         10620.41955675          10615.0732090518        0                       4567.168148723         
15         10616.9411872712        10611.59336551          0                       4565.82456875692       
16         10613.4627446294        10608.1147630248        0                       4564.48146752959       
17         10609.9847374495        10604.6373965068        0                       4563.13884301126       
18         10606.5074754716        10601.1612626851        0                       4561.79669389967       
19         10603.0311472535        10597.6863593973        0                       4560.45501933593       
20         10599.5558675159        10594.2126851564        0                       4559.11381873124       
21         10596.0817059894        10590.7402388869        0                       4557.77309166145       
22         10592.6087049922        10587.2690197639        0                       4556.43283780273       
23         10589.1368901397        10583.7990271159        0                       4555.09305689241       
24         10585.6662768703        10580.3302603641        0                       4553.75374870508       
25         10582.1968744214        10576.8627189868        0                       4552.4149130381        
26         10578.7286882525        10573.3964024971        0                       4551.07654970271       
27         10575.2617215205        10569.9313104292        0                       4549.73865851861       
28         10571.7959759803        10566.4674423302        0                       4548.4012393107        
29         10568.3314525319        10563.0047977552        0                       4547.06429190708       
30         10564.8681515546        10559.5433762644        0                       4545.72781613779       
31         10561.4060731109        10556.0831774208        0                       4544.39181183411       
32         10557.9452170697        10552.6242007894        0                       4543.05627882808       
33         10554.4855831826        10549.1664459366        0                       4541.72121695223       
34         10551.0271711292        10545.7099124294        0                       4540.3866260394        
35         10547.569980546         10542.2545998355        0                       4539.05250592267       
36         10544.1140110425        10538.8005077227        0                       4537.71885643527       
37         10540.6592622124        10535.3476356596        0                       4536.38567741055       
38         10537.2057336397        10531.8959832146        0                       4535.05296868194       
39         10533.7534249023        10528.4455499565        0                       4533.72073008297       
40         10530.3023355747        10524.9963354543        0                       4532.38896144724       
41         10526.8524652295        10521.5483392771        0                       4531.05766260842       
42         10523.4038134377        10518.1015609942        0                       4529.72683340023       
43         10519.95637977          10514.6560001751        0                       4528.39647365646       
44         10516.5101637964        10511.2116563893        0                       4527.06658321096       
45         10513.065165087         10507.7685292067        0                       4525.73716189766       
46         10509.6213832119        10504.3266181971        0                       4524.40820955051       
47         10506.1788177409        10500.8859229306        0                       4523.07972600357       
48         10502.7374682443        10497.4464429775        0                       4521.7517110909        
49         10499.2973342921        10494.0081779082        0                       4520.42416464668       
50         10495.8584154549        10490.5711272931        0                       4519.0970865051        
51         10492.420711303         10487.135290703         0                       4517.77047650044       
52         10488.9842214071        10483.7006677086        0                       4516.44433446703       
53         10485.5489453378        10480.2672578811        0                       4515.11866023925       
54         10482.1148826662        10476.8350607914        0                       4513.79345365156       
55         10478.6820329633        10473.4040760109        0                       4512.46871453845       
56         10475.2503958003        10469.9743031111        0                       4511.1444427345        
57         10471.8199707486        10466.5457416635        0                       4509.82063807433       
58         10468.3907573796        10463.1183912399        0                       4508.49730039262       
59         10464.962755265         10459.6922514122        0                       4507.17442952413       
60         10461.5359639768        10456.2673217524        0                       4505.85202530363       
61         10458.1103830867        10452.8436018327        0                       4504.53008756601       
62         10454.6860121669        10449.4210912254        0                       4503.20861614617       
63         10451.2628507898        10445.9997895032        0                       4501.8876108791        
64         10447.8408985276        10442.5796962385        0                       4500.56707159983       
65         10444.4201549531        10439.1608110043        0                       4499.24699814347       
66         10441.0006196388        10435.7431333734        0                       4497.92739034516       
67         10437.5822921577        10432.326662919         0                       4496.60824804012       
68         10434.1651720829        10428.9113992143        0                       4495.28957106362       
69         10430.7492589873        10425.4973418327        0                       4493.97135925099       
70         10427.3345524445        10422.0844903479        0                       4492.65361243763       
71         10423.9210520279        10418.6728443334        0                       4491.33633045899       
72         10420.508757311         10415.2624033632        0                       4490.01951315056       
73         10417.0976678677        10411.8531670112        0                       4488.70316034793       
74         10413.6877832719        10408.4451348516        0                       4487.3872718867        
75         10410.2791030977        10405.0383064588        0                       4486.07184760258       
76         10406.8716269193        10401.6326814071        0                       4484.7568873313        
77         10403.4653543111        10398.2282592713        0                       4483.44239090865       
78         10400.0602848475        10394.8250396259        0                       4482.12835817051       
79         10396.6564181034        10391.4230220461        0                       4480.8147889528        
80         10393.2537536534        10388.0222061067        0                       4479.50168309147       
81         10389.8522910727        10384.6225913831        0                       4478.18904042259       
82         10386.4520299363        10381.2241774506        0                       4476.87686078223       
83         10383.0529698194        10377.8269638847        0                       4475.56514400655       
84         10379.6551102977        10374.430950261         0                       4474.25388993176       
85         10376.2584509465        10371.0361361554        0                       4472.94309839414       
86         10372.8629913416        10367.6425211438        0                       4471.63276923001       
87         10369.468731059         10364.2501048024        0                       4470.32290227575       
88         10366.0756696746        10360.8588867073        0                       4469.01349736782       
89         10362.6838067646        10357.4688664351        0                       4467.70455434271       
90         10359.2931419054        10354.0800435622        0                       4466.39607303699       
91         10355.9036746734        10350.6924176654        0                       4465.08805328727       
92         10352.5154046453        10347.3059883215        0                       4463.78049493025       
93         10349.1283313978        10343.9207551076        0                       4462.47339780264       
